Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
2500,1.60E-04,-1.28E-07,-3.10E-09,1.27E-08,1.67E-04,1.70E-04,1.69E-04,1.64E-04,1.64E-04,2.02E-04,5.58E-06,1.65E-04
3000,1.28E-04,2.86E-07,6.56E-10,-1.14E-07,1.41E-04,1.38E-04,1.37E-04,1.37E-04,1.34E-04,1.31E-04,3.93E-06,1.37E-04
3000,1.32E-04,-1.02E-08,-1.40E-10,-2.62E-08,1.38E-04,1.37E-04,1.39E-04,1.37E-04,1.35E-04,1.32E-04,-4.91E-08,1.36E-04
3000,1.33E-04,6.89E-07,-4.42E-11,-1.57E-08,1.39E-04,1.40E-04,1.35E-04,1.36E-04,1.33E-04,1.26E-04,-4.12E-08,1.38E-04
3000,1.35E-04,-2.90E-07,-8.51E-11,-1.74E-08,1.40E-04,1.38E-04,1.36E-04,1.37E-04,1.33E-04,1.30E-04,-1.60E-08,1.37E-04
3000,1.36E-04,-5.72E-08,3.63E-10,-1.50E-08,1.32E-04,1.35E-04,1.36E-04,1.38E-04,1.35E-04,1.30E-04,-4.36E-09,1.35E-04
4000,1.10E-04,3.45E-07,6.71E-10,-2.21E-06,1.07E-04,1.12E-04,1.14E-04,9.06E-05,1.03E-04,1.06E-04,3.36E-07,1.06E-04
4000,8.86E-05,9.99E-05,-1.45E-10,4.09E-07,9.24E-05,9.02E-05,1.08E-04,1.04E-04,1.04E-04,1.01E-04,-2.83E-05,1.06E-04
4000,8.94E-05,1.16E-04,1.22E-10,1.43E-07,9.72E-05,9.64E-05,1.08E-04,1.03E-04,1.04E-04,1.01E-04,-1.70E-06,9.25E-05
4000,1.06E-04,9.74E-05,6.36E-11,-1.16E-08,1.14E-04,1.13E-04,9.71E-05,9.45E-05,1.08E-04,1.01E-04,-1.95E-06,1.12E-04
4000,1.09E-04,9.85E-05,1.51E-10,4.80E-07,9.25E-05,9.01E-05,1.08E-04,9.47E-05,1.03E-04,9.58E-05,-2.89E-06,1.06E-04
4000,1.09E-04,-3.60E-06,-3.26E-10,-8.96E-07,9.38E-05,9.29E-05,1.08E-04,1.10E-04,1.08E-04,1.07E-04,5.18E-06,1.07E-04
4000,1.03E-04,5.84E-07,-5.09E-12,-2.06E-06,1.08E-04,1.07E-04,1.13E-04,9.51E-05,1.08E-04,1.03E-04,-3.04E-07,9.04E-05
4000,1.09E-04,6.33E-07,-5.05E-10,9.19E-07,9.84E-05,1.13E-04,1.13E-04,9.14E-05,1.08E-04,1.03E-04,5.84E-08,1.11E-04
